"","species","mean.biomass.top25"
"1",40,11.6042597057522
"2",10,42.2319458355829
"3",11,41.0185709704634
"4",4511,11.1865192604797
"5",14,15.6519631651379
"6",201,7.80964865259447
"7",41,2.63689711035727
"8",23,55.6068848152215
"9",12,12.051269706628
"10",42,6.10906596789626
"11",300,1.81314388509696
"12",60,19.4441629523537
"13",16,30.4760431170697
"14",320,0.939305137569832
"15",400,2.81049515428951
"16",220,63.5209079081732
"17",13,1.05180348553312
"18",202,0.455641298591397
"19",50,1.70673933326953
"20",640,0.386493402750793
"21",43,1.81183876962544
"22",30,1.43397695456627
"23",204,2.27791108246597
"24",304,0.0289396540373152
